정보원,일자,인용문
문재인대통령,2020-04-28,"대책에 시간을 끌수록 피해가 커지고 국민과 기업의 어려움이 가중된다
전례 없는 위기에 과감하게 결정하고 빠르고 정확하게 (정책을) 집행해야 한다
정부는 소비진작을 위한 시간표를 보다 앞당길 필요가 있다
빠르게 결정하고 빠르게 행동하는 정부로서 국민의 삶과 국가 경제에 든든한 버팀목이 돼야 할 것
세계 경제가 침체에서 벗어나기까지 시간이 걸리는 만큼 우선 내수활력을 경기 회복 출발점으로 삼지 않을 수 없다
추경 이전에라도 지금부터 곧바로 시행할 건 시행하고 준비할 건 준비해야 한다
특별히 전 부처에 ‘한국판 뉴딜’ 국가 프로젝트를 적극 추진할 것을 당부하고 싶다
우리의 강점을 살려 국내 기술과 인력을 활용한 디지털 기반의 대형 IT프로젝트를 적극적으로 검토해달라
비대면 의료서비스나 온라인 교육 서비스 등 코로나19 사태를 계기로 주목 받는 분야에서 다양한 프로젝트 발굴에 상상력을 발휘해달라"
문재인대통령,2020-04-28,특별히 전 부처에 당부하고 싶은 것은 새로운 일자리 창출을 위한 ‘한국판 뉴딜’을 국가 프로젝트로 적극 추진해야 한다는 것
문재인대통령,2020-04-28,"우리의 강점을 살려 국내 기술과 인력을 활용한 디지털 기반의 대형 IT 프로젝트를 적극적으로 기획하고 추진하는 것을 검토해주기 바란다
비대면 의료 서비스나 온라인 교육 서비스 등 코로나19 사태를 계기로 주목받는 분야는 물론 최첨단 기술이 적용된 스마트시티 확산, 기존 SOC 사업에 디지털을 결합하는 사업, 디지털 경제를 위해 데이터를 축적하고 정리하는 사업 등 다양한 프로젝트 발굴에 상상력을 발굴해달라
이해관계 대립으로 미뤄졌던 대규모 국책 사업도 신속한 추진으로 위기 국면에서 경제활력 제고와 일자리 창출에 기여할 수 있기 바란다
지금부터가 본격적인 경제위기 국면
전 분야, 전 영역에서 끝을 알 수 없는 경제 충격이 가시화되고 있다. 그야말로 ‘경제 전시 상황’
경제 전시 상황인 만큼 정부는 위기 극복에 모든 역량을 집중하는 ‘위기국가체’계를 갖춰야 한다
무엇보다도 빠른 정부가 돼야 한다
투자 활성화 대책도 조기에 준비해달라
코로나19로 인해 중단됐던 투자의 촉진과 포스트 코로나 시대를 반영한 보다 공격적인 투자 활성화 방안을 적극적으로 모색해달라
세계경제가 침체에서 벗어나기까지 시간이 걸리는 만큼 우선은 내수 활력을 경기 회복의 출발점으로 삼지 않을 수 없다. 내수 반등을 위한 종합적인 대책이 3차 추경에 담길 것이지만, 그 이전에도 지금부터 곧바로 시행할 것은 시행하고, 준비할 것은 준비해 나가야 하겠다
코로나19라는 위기 상황 속에서 전세계는 지금 자국에 기업을 유치하기 위한 무한경쟁에 돌입해있다
우리나라는 성공적인 방역으로 봉쇄나 이동금지 조치에 의해 문을 닫은 기업이 없었기 때문에 가장 안전한 생산기지가 되고 있다. 우리에겐 기회가 될 수 있다
해외로 나간 우리 기업들의 유턴을 포함해 우리나라가 글로벌 첨단기업들의 생산기지가 될 수 있도록 과감하고 적극적인 투자 유치와 지원 방법을 조속히 강구해달라"
문재인대통령,2020-04-27,고통 분담으로 어려움을 함께 이겨 내겠다는 의지
문재인대통령,2020-04-24,어쨌든 매듭을 빨리 지어야 한다
문재인대통령,2020-04-23,대책은 전례가 없어야 하고 어떤 제약도 뛰어넘어야 한다
문재인대통령,2020-04-23,"국회도 할 일이 태산 같은 비상한 시기임을 감안해 대승적 합의로 신속한 결정을 내려주실 것을 간곡히 당부 드린다
(국회를) 기다리지 말고, 재난지원금 지급 대상자에게 미리 통보해 주고 신청을 받으라"
문재인대통령,2020-04-23,긴급재난지원금 지급 대상자들에게 미리 통보하고 신청을 받으라
문재인대통령,2020-04-23,긴급재난지원금 문제를 빨리 매듭지어야 한다
문재인대통령,2020-04-22,(재난지원금 문제) 매듭을 빨리 지어야 한다
문재인대통령,2020-04-22,(긴급재난지원금 문제를) 빨리 매듭지어야 한다
문재인대통령,2020-04-22,"우리는 바이러스뿐 아니라 외환위기 이후 최악의 경제위기 상황을 함께 이겨내야 한다. 핵심은 일자리를 지켜내는 것
정부는 노사합의를 통해 고용을 유지하는 기업을 우선적으로 지원할 것이다"
문재인대통령,2020-04-21,3개월 동한 줄어든 수입을 따지고 차등해서 주는 등 신청만 복잡했다
문재인대통령,2020-04-20,노사가 함께 머리를 맞대고 협력하는 것이 절대적으로 필요하다. 정부는 노사합의를 통해 고용을 유지하는 기업을 우선적으로 지원할 것
문재인대통령,2020-04-16,재난지원금 신청자 접수를 미리 받아두라
문재인대통령,2020-04-16,국회가 코로나 2차 추가경정예산안을 통과시킬 때까지 기다리지 말고 긴급재난지원금 지급 대상자들에게 미리 신청을 받으라
문재인대통령,2020-04-15,"국회가 추경안을 통과시킬 때까지 기다리지 말고 긴급재난지원금 지급 대상자들에게 미리 통보하고 신청을 받으라
긴급생활안전 자금 한 분에 40만원씩 11만6000명에 현금 입금 완료했다"
문재인대통령,2020-04-15,사상 초유의 금권 선거이자 매표 행위
문재인대통령,2020-04-15,"국회의 추경안 심의 전이라도 신청을 미리 받으라
정부는 국회가 2차 추경안을 상정 심의해서 통과할 때까지 기다리지 말고, 긴급재난지원금 지급 대상자들에게 미리 통보해주고 신청받으라
코로나를 앞세운 대통령 주도의 금권 선거이자 여당을 측면 지원하는 선거 개입
국회가 추경안을 심의해서 통과될 때까지 기다렸다가 신청받을 이유가 없다
국회 심의 이전에라도 지급 대상자들에겐 빨리빨리 신청받아 놓을 필요가 있다
정상적 상황이라면 추경안의 국회 통과 후에 긴급재난지원금 지급 신청을 받는 게 순서지만, 지금은 정상적 상황이 아니다
방역에서 보여 준 개방적이고 민주적이며 창의적인 대응과 국민의 위대한 시민 의식으로 대한민국은 전 세계가 주목하는 나라가 됐다
세계에서 확진자가 둘째로 많았던 '위기의 나라'에서 한국형 방역 모델이 세계적 표준이 되고, 한국산 방역 물품이 전 세계로 수출되는 '기회의 나라'로 바뀌었다
한국은 코로나19 확산을 다른 나라들보다 일찍 겪으면서 많은 도전들에 맞서 왔다
아직은 말하기 조심스럽지만, 다행히 지금은 점차 안정화 단계에 들어서고 있다
한국은 정확도 높은 진단 시약을 조기 상용화했고, 선별진료소 외에 '드라이브 스루' '워크 스루' 등 창의적인 방법을 도입해 검사 속도를 높였다"
문재인대통령,2020-04-14,"정부는 국회가 제2차 추가경정예산안을 상정 심의해 통과할 때까지 기다리지 말고, 지급 대상자들에게 미리 통보해 주고 신청을 받으라 지시했다"
문재인대통령,2020-04-14,"아직은 위기의 끝을 알 수 없다. 그러나 보이지 않는 끝 너머를 내다보며 위기를 슬기롭게 극복하는 노력과 함께 위기 속에서 기회를 만들어내는 용기와 지혜가 필요하다
정부는 특단의 비상경제 조치로 선제적으로 대처하고 있지만 실물경제와 금융시장, 생산과 소비, 국내와 국외 전방위적으로 밀려오는 전대미문의 충격에 대응하기 위해서는 더한 각오와 정책적 결단이 필요하다
위기 극복에 온 힘을 기울이면서도 위기 속에서 기회를 찾아내는 적극적 자세도 필요하다
일본의 수출 규제에 대응하여 소재ㆍ부품ㆍ장비 산업을 자립화하는 기회를 열어 나갔듯이 글로벌 공급망의 급격한 재편에 능동적으로 대처해야 한다
코로나19 사태를 겪으며 우리 비대면산업이 세계를 선도할 역량이 있다는 것을 확인했다
이를 빅데이터ㆍ인공지능 등 4차산업혁명 기술과 결합해 적극적으로 키워가겠다
K-방역에서 K-바이오로 위상을 높여 나가듯 백신과 치료제 개발에도 속도를 내 바이오ㆍ의약 수준을 한 단계 높여야 한다
‘포스트 코로나’ 시대를 제일 먼저 준비하고 맞이하는 대한민국을 만드는 일에 국민들이 한마음이 돼 달라
두려운 변화지만, 진정으로 두려워할 것은 두려움 자체가 아니라 여기에 맞서는 용기와 희망을 잃는 것
역사에서 승자는 변화를 기회로 만들어온 자의 몫이었다. 정부는 거대한 변화를 위기가 아닌 기회로 삼는 능동적 자세를 갖겠다
정책 수단도 과거의 관성과 통념을 뛰어넘어 새로운 사고와 담대한 의지로 변화를 주도해 나가겠다
위기를 기회로 만들고 더 크게 도약하는 대한민국(을 만들겠다). 우리는 반드시 할 수 있다"
문재인대통령,2020-04-14,지급 대상자들에게 미리 통보해 주고 신청을 받으라
문재인대통령,2020-04-14,"국회가 추경안을 심의해서 통과될 때까지 기다렸다가 신청을 받을 이유가 없다
국회 심의 이전에라도 지급 대상자들에게는 빨리빨리 신청을 받아놓을 필요가 있다
정상적 상황이라면 추경안의 국회 통과 후에 긴급재난지원금 지급 신청을 받는 게 순서지만, 지금은 정상적 상황이 아니다. 가장 중요한 것은 속도"
문재인대통령,2020-04-14,"국회가 2차 추가경정예산(추경)안을 심의해 통과시키는 것을 기다리지 말고, 지급 대상자들에게 미리 통보해 주고 신청을 받으라"
문재인대통령,2020-04-14,"정부는 국회가 제2차 추경(추가경정예산)안을 상정 심의해서 통과할 때까지 기다리지 말고, 긴급재난지원금 지급 대상자들에게 미리 통보해 주고 신청을 받으라"
문재인대통령,2020-04-14,"추경안 심의에 걸리는 시간을 뛰어넘어야 한다
정상적 상황이라면 추경안의 국회 통과 후에 긴급재난지원금 지급 신청을 받는 게 순서지만, 지금은 정상적 상황이 아니다
국회가 추경안을 심의해서 통과될 때까지 기다렸다가 신청을 받을 이유가 없다
국회 심의 이전에라도 지급 대상자들에게는 빨리빨리 신청을 받아놓을 필요가 있다
정부는 정책의 내용뿐 아니라 과정, 절차도 과거에 해왔던 방식을 뛰어넘어야 한다
이는 단지 긴급재난지원금만의 문제가 아니다"
문재인대통령,2020-04-14,"추경안(추가경정예산안) 심의에 걸리는 시간을 뛰어넘어야 한다
정부는 국회가 제2차 추경안을 상정 심의해서 통과할 때까지 기다리지 말고, 긴급재난지원금 지급 대상자들에게 미리 통보해 주고 신청을 받으라"
문재인대통령,2020-04-14,"국회가 추경안을 심의해서 통과될 때까지 기다렸다가 신청을 받을 이유가 없다
국회 심의 이전에라도 지급 대상자들에게는 빨리빨리 신청을 받아놓을 필요가 있다
정상적 상황이라면 추경안의 국회 통과 후에 긴급재난지원금 지급 신청을 받는 게 순서지만, 지금은 정상적 상황이 아니다. 가장 중요한 것은 속도
국회에서 신속하게 심의 처리해 국민들께 힘을 드리는 유종의 미를 거두어 주시길 당부 드린다
정부는 정책 내용뿐 아니라 과정, 절차도 과거에 해왔던 방식을 뛰어넘어야 한다
이는 단지 긴급재난지원금만의 문제가 아니다"
문재인대통령,2020-04-14,"정부는 국회가 제2차 추경안(추가경정예산안)을 상정 심의해서 통과할 때까지 기다리지 말고, 긴급재난지원금 지급 대상자들에게 미리 통보해 주고 신청을 받으라"
문재인대통령,2020-04-14,"추경안 심의에 걸리는 시간을 뛰어넘어야 한다
국회가 추경안을 심의해서 통과될 때까지 기다렸다가 신청을 받을 이유가 없다
국회 심의 이전에라도 지급 대상자들에게는 빨리빨리 신청을 받아놓을 필요가 있다
정상적 상황이라면 추경안의 국회 통과 후에 긴급재난지원금 지급 신청을 받는 게 순서지만, 지금은 정상적 상황이 아니다. 가장 중요한 것은 속도
정부는 정책의 내용뿐 아니라 과정, 절차도 과거에 해왔던 방식을 뛰어넘어야 한다. 이는 단지 긴급재난지원금만의 문제가 아니다"
문재인대통령,2020-04-14,"코로나19의 어려움을 이겨나가는 국민들께 힘과 위로를 드리기 위해 헌정 사상 처음으로 긴급재난지원금 지급을 결정했다
신속한 집행을 위해 오늘 예타 면제를 의결하고, 총선이 끝나면 곧바로 추경안을 국회에 제출하겠다"
문재인대통령,2020-04-14,"신속하게 심의 처리하여 국민들께 힘을 드리는 유종의 미를 거두어 주시길 당부드린다
경제적으로 본격적인 위기가 시작되는 단계
정부는 특단의 비상경제 조치로 선제적으로 대처하고 있지만 실물경제와 금융시장, 생산과 소비, 국내와 국외 전방위적으로 밀려오는 전대미문의 충격에 대응하기 위해서는 더한 각오와 정책적 결단이 필요하다
당장의 일자리를 지키기 위한 특단의 고용 정책과 기업을 살리기 위한 추가적인 대책도 준비해야 한다
아직은 위기의 끝을 알 수 없다
보이지 않는 끝 너머를 내다보며 위기를 슬기롭게 극복하는 노력과 함께 위기 속에서 기회를 만들어내는 용기와 지혜가 필요하다
방역에서 보여준 개방적이고 민주적이며 창의적인 대응과 국민들의 위대한 시민의식으로 대한민국은 전세계가 주목하는 나라가 되었다
세계에서 확진자가 두 번째로 많았던 위기의 나라에서 한국형 방역 모델이 세계적 표준이 되고, 한국산 방역 물품이 전세계로 수출되는 기회의 나라로 바뀌었다
오늘 오후 아세안 10개국과 한 중 일 3국이 화상 정상회의를 한다
세계 각국 정상들과의 전화 통화, G20 화상 정상회의에 이어 국제 협력과 연대를 강화하는 중요한 계기
코로나19는 세계질서를 재편하게 될 것
바이러스는 이미 초국경적인 문제이며 국경의 장벽을 쌓고 이동을 금지한다고 문제가 해결되는 것이 아니라는 교훈을 주고 있다. 다른 나라가 안전하지 못하면 우리도 안전하지 못하며 서로 연대하고 협력하지 않고는 이겨낼 수 없는 일이 되었다
방역 협력과 경제 협력은 동전의 양면
정부는 두 분야 모두 전세계와 적극적으로 협력하며 연대할 것"
문재인대통령,2020-04-14,"방역에서 보여준 개방적이고 민주적이며 창의적인 대응과 국민들의 위대한 시민의식으로 대한민국은 전세계가 주목하는 나라가 됐다
세계에서 확진자가 두 번째로 많았던 ‘위기의 나라’에서 한국형 방역 모델이 세계적 표준이 되고, 한국산 방역 물품이 전세계로 수출되는 ‘기회의 나라’로 바뀌었다
신속한 집행을 위해 오늘 예타 면제를 의결하고, 총선이 끝나면 곧바로 추경안을 국회에 제출하겠다"
